"time","y","r","pi"
1998 Q1,-0.08742899319234,3.83,-0.1
1998 Q2,0.189375023057536,3.76,0.5
1998 Q3,0.426550662672653,3.81,0.5
1998 Q4,0.0708350609164299,3.09,1
1999 Q1,0.333587452661455,2.9252,0.2
1999 Q2,0.251063022212961,2.5632,0.2
1999 Q3,0.772549896374031,2.4336,0.2
1999 Q4,1.35302637773318,3.0418,0.3
2000 Q1,2.01495446047861,3.5104,0.3
2000 Q2,2.32774570144461,4.2945,0.4
2000 Q3,2.35407220471071,4.5905,0.5
2000 Q4,2.45872946897556,4.8268,0.5
2001 Q1,2.8859446849177,4.7814,0.8
2001 Q2,2.44325076919516,4.5395,0.6
2001 Q3,2.0727593960947,3.9865,0.7
2001 Q4,1.7171216814523,3.3389,0.8
2002 Q1,1.28305145662733,3.264,0.7
2002 Q2,1.38129320816471,3.3485,0.3
2002 Q3,1.32647966500716,3.3186,0.7
2002 Q4,1.0429497811236,3.0945,0.4
2003 Q1,0.213495128798158,2.749,0.7
2003 Q2,-0.153009229292955,2.2133,0.6
2003 Q3,-0.0631473892013901,2.0209,0.7
2003 Q4,0.214058060561406,2.0567,0.1
2004 Q1,0.256318653617704,2.0057,0.6
2004 Q2,0.378830300742727,2.0277,0.6
2004 Q3,0.1811999497221,2.0518,0.3
2004 Q4,0.108009836824152,2.0535,0.5
2005 Q1,-0.0965186297127829,2.0567,0.4
2005 Q2,0.0653354759611702,2.0623,0.5
2005 Q3,0.358687921716339,2.0941,0.4
2005 Q4,0.5388048979313,2.2757,0.7
2006 Q1,0.988755915704509,2.52,0.3
2006 Q2,1.6155934748042,2.6977,0.6
2006 Q3,1.74294767005172,3.041,0.5
2006 Q4,2.46218099272735,3.5011,0.5
2007 Q1,2.61941615202677,3.6909,0.8
2007 Q2,2.86124700657258,3.9557,0.4
2007 Q3,2.8715075008261,4.0286,0.6
2007 Q4,3.01846069577447,3.8791,0.8
2008 Q1,3.09069555923678,4.091,0.4
2008 Q2,2.42776068627162,4.0067,0.6
2008 Q3,1.65246940841683,4.2733,0.2
2008 Q4,-0.249377246308313,2.4864,0.4
2009 Q1,-3.55163286857199,1.062,0.5
2009 Q2,-3.70492184496296,0.698,-0.2
2009 Q3,-3.47987312535611,0.3632,0
2009 Q4,-3.14453497653915,0.3546,0.2
2010 Q1,-2.99226544578772,0.3477,0.2
2010 Q2,-2.21183921669184,0.3543,0.1
2010 Q3,-1.97696035769859,0.4536,0.5
2010 Q4,-1.54904490047514,0.4981,0.2
2011 Q1,-0.903060717517867,0.6587,0.2
2011 Q2,-1.04570698283535,1.124,0.3
2011 Q3,-1.06224877378054,1.0055,0.3
2011 Q4,-1.49055246509171,0.627,0.4
2012 Q1,-1.74188299300919,0.3567,0.3
2012 Q2,-2.1351504053051,0.332,0.3
2012 Q3,-2.34279449388364,0.0993,0.4
2012 Q4,-2.90658487225688,0.0734,0.3
2013 Q1,-3.49775822715976,0.067,0.5
2013 Q2,-3.14484383307398,0.0862,0.3
2013 Q3,-3.00961629789835,0.0803,0.1
2013 Q4,-2.93691628197141,0.1686,0
2014 Q1,-2.6537891397636,0.1919,0.5
2014 Q2,-2.6794170109298,0.0758,0.1
2014 Q3,-2.48688581385625,0.0066,0.2
2014 Q4,-2.38999666921558,-0.0301,0.3
2015 Q1,-2.04992786540164,-0.0504,0.5
2015 Q2,-1.97978997918238,-0.1185,0.4
2015 Q3,-1.8244470787355,-0.1357,0.3
2015 Q4,-1.6442998074611,-0.199,0.1
2016 Q1,-1.25055061174759,-0.2877,0.2
2016 Q2,-1.21980234749568,-0.3325,0.2
2016 Q3,-1.06052549803142,-0.343,0.2
2016 Q4,-0.611968453196177,-0.3504,0.1
2017 Q1,-0.291219442285673,-0.3535,0.2
2017 Q2,0.0641781924663576,-0.3587,0.5
2017 Q3,0.473953023825757,-0.3581,0.3
2017 Q4,0.910603242204111,-0.3423,0.2
2018 Q1,0.821350192618198,-0.3639,0.3
2018 Q2,0.838974042712159,-0.3618,0.3
2018 Q3,0.699425280085819,-0.3627,0.3
2018 Q4,0.762261268822861,-0.3605,0.5
2019 Q1,0.918149560484061,-0.3679,0.5
2019 Q2,0.722774562048478,-0.3616,0.4
2019 Q3,0.664279029227721,-0.4032,0.3
2019 Q4,0.379670405518517,-0.4562,0.5
